id,loc,cnty,lon,lat,elev
1412,treknow,cornwall,-4.755,50.646,100
1414,goonhilly-down,cornwall,-5.189,50.049,101
1415,cardinham-bodmin,cornwall,-4.667,50.502,200
1418,bude,cornwall,-4.546,50.829,15
1426,boom-hall,londonderry,-7.305,55.02,33
1428,loughermore-forest,londonderry,-7.089,54.959,174
1429,ballykelly,londonderry,-7.008,55.057,4
1430,dungiven-bovevagh,londonderry,-7.023,54.971,235
1431,banagher-caugh-hill,londonderry,-6.966,54.886,214
1432,aghanloo,londonderry,-6.947,55.073,18
1434,derrynoyd-forest,londonderry,-6.803,54.802,88
1435,lough-fea,londonderry,-6.815,54.721,225
1437,coleraine-university,londonderry,-6.678,55.154,23
1448,portglenone,antrim,-6.458,54.865,64
1449,lisnafillan,antrim,-6.326,54.857,38
1450,aldergrove,antrim,-6.225,54.664,63
1452,altnahinch-filters,antrim,-6.255,55.048,213
1455,nutts-corner,antrim,-6.149,54.632,103
1458,parkmore-forest,antrim,-6.12,55.019,235
1460,dungonnell-filters-no-2,antrim,-6.144,54.989,268
1465,oldpark-filters,antrim,-5.949,54.627,58
1467,ballypatrick-forest,antrim,-6.154,55.181,156
1475,belfast-newforge,down,-5.941,54.56,36
1476,belfast-harbour,antrim,-5.892,54.627,43
1480,larne,antrim,-5.832,54.852,43
1482,kilroot-power-station,antrim,-5.773,54.727,12
1487,newry-carnbane,down,-6.351,54.206,8
1488,killowen,down,-6.184,54.077,4
